place,competitionId,competition,country,startDate,endDate,partScore,participationScorePlace,resultScore,resultScorePlace,competitionScore,competitionUrl
1,606209,"Weltklasse Zürich, Letzigrund, Zürich",SUI,08 SEP 2021,09 SEP 2021,8530,1,88233,1,96763,https://worldathletics.org/records/competition-performance-rankings/ranking/606209
2,605909,"Prefontaine Classic, Hayward Field, Eugene, OR",USA,20 AUG 2021,21 AUG 2021,7525,3,87859,2,95384,https://worldathletics.org/records/competition-performance-rankings/ranking/605909
3,605364,"Herculis, Stade Louis II, Monaco",MON,09 JUL 2021,09 JUL 2021,6730,6,87156,3,93886,https://worldathletics.org/records/competition-performance-rankings/ranking/605364
4,605972,"Athletissima Lausanne, Stade Olympique de la Pontaise, Lausanne",SUI,25 AUG 2021,26 AUG 2021,7530,2,85941,11,93471,https://worldathletics.org/records/competition-performance-rankings/ranking/605972
5,605310,"Gyulai István Memorial - Hungarian Athletics Grand Prix, Bregyó Athletic Center, Székesfehérvár",HUN,05 JUL 2021,06 JUL 2021,6740,5,86678,4,93418,https://worldathletics.org/records/competition-performance-rankings/ranking/605310
6,605981,"Meeting de Paris, Stade Charléty, Paris",FRA,28 AUG 2021,28 AUG 2021,7070,4,86213,8,93283,https://worldathletics.org/records/competition-performance-rankings/ranking/605981
7,604299,"Diamond League Meeting, Suhaim bin Hamad Stadium, Doha",QAT,28 MAY 2021,28 MAY 2021,6565,7,86364,6,92929,https://worldathletics.org/records/competition-performance-rankings/ranking/604299
8,606078,"Allianz Memorial Van Damme, Boudewijnstadion, Bruxelles",BEL,01 SEP 2021,03 SEP 2021,6535,8,86334,7,92869,https://worldathletics.org/records/competition-performance-rankings/ranking/606078
9,605258,"Bauhaus-Galan, Olympiastadion, Stockholm",SWE,04 JUL 2021,04 JUL 2021,5515,11,86570,5,92085,https://worldathletics.org/records/competition-performance-rankings/ranking/605258
10,604652,"Golden Gala Pietro Mennea, Stadio Luigi Ridolfi, Firenze",ITA,10 JUN 2021,10 JUN 2021,5840,10,85967,10,91807,https://worldathletics.org/records/competition-performance-rankings/ranking/604652
