place,competitionId,competition,country,startDate,endDate,partScore,participationScorePlace,resultScore,resultScorePlace,competitionScore,competitionUrl
58,398746,"Rehlingen International, Rehlingen",GER,04 JUN 2001,04 JUN 2001,1285,62,79191,55,80476,https://worldathletics.org/records/competition-performance-rankings/ranking/398746
68,398745,"Rehlingen International, Rehlingen",GER,20 MAY 2002,20 MAY 2002,1165,65,77789,67,78954,https://worldathletics.org/records/competition-performance-rankings/ranking/398745
47,398729,"Rehlingen Pfingstsportfest, Rehlingen",GER,09 JUN 2003,09 JUN 2003,1585,54,80445,38,82030,https://worldathletics.org/records/competition-performance-rankings/ranking/398729
48,398725,"Rehlingen Pfingstsportfest, Rehlingen",GER,31 MAY 2004,31 MAY 2004,1420,51,80334,46,81754,https://worldathletics.org/records/competition-performance-rankings/ranking/398725
75,398718,"Rehlingen Internationales Pfingstsportfest, Rehlingen",GER,16 MAY 2005,16 MAY 2005,845,74,77211,76,78056,https://worldathletics.org/records/competition-performance-rankings/ranking/398718
59,398719,"Rehlingen Int. Pfingstsportfest, Rehlingen",GER,05 JUN 2006,05 JUN 2006,1400,66,79137,59,80537,https://worldathletics.org/records/competition-performance-rankings/ranking/398719
75,398714,"Rehlingen Int. Pfingstsportfest, Rehlingen",GER,28 MAY 2007,28 MAY 2007,985,70,77715,81,78700,https://worldathletics.org/records/competition-performance-rankings/ranking/398714
114,468380,"Rehlingen Internationales Leichtathletiksportfest, Rehlingen",GER,24 MAY 2008,24 MAY 2008,465,113,75935,113,76400,https://worldathletics.org/records/competition-performance-rankings/ranking/468380
80,518417,"Rehlingen Pfingstsportfest, Rehlingen",GER,01 JUN 2009,01 JUN 2009,635,97,78597,74,79232,https://worldathletics.org/records/competition-performance-rankings/ranking/518417
71,521104,"Rehlingen Pfingstsportfest, Rehlingen",GER,24 MAY 2010,24 MAY 2010,815,79,78493,67,79308,https://worldathletics.org/records/competition-performance-rankings/ranking/521104
72,534265,"Rehlingen Pfingstsportfest, Rehlingen",GER,13 JUN 2011,13 JUN 2011,870,67,78238,70,79108,https://worldathletics.org/records/competition-performance-rankings/ranking/534265
54,544832,"Rehlingen Pfingstsportfest, Rehlingen",GER,28 MAY 2012,28 MAY 2012,1020,63,80060,50,81080,https://worldathletics.org/records/competition-performance-rankings/ranking/544832
80,551054,"Rehlingen Pfingstsportfest, Rehlingen",GER,20 MAY 2013,20 MAY 2013,1240,51,76811,91,78051,https://worldathletics.org/records/competition-performance-rankings/ranking/551054
46,558510,"Rehlingen Pfingstsportfest, Rehlingen",GER,09 JUN 2014,09 JUN 2014,1430,46,79335,49,80765,https://worldathletics.org/records/competition-performance-rankings/ranking/558510
59,564171,"Rehlingen Pfingstsportfest, Rehlingen",GER,25 MAY 2015,25 MAY 2015,1235,48,78180,64,79415,https://worldathletics.org/records/competition-performance-rankings/ranking/564171
69,569267,"Rehlingen Pfingstsportfest, Rehlingen",GER,16 MAY 2016,16 MAY 2016,1210,46,77894,76,79104,https://worldathletics.org/records/competition-performance-rankings/ranking/569267
52,574911,"Rehlingen Pfingstsportfest, Rehlingen",GER,05 JUN 2017,05 JUN 2017,1455,44,79607,56,81062,https://worldathletics.org/records/competition-performance-rankings/ranking/574911
43,582958,"Rehlingen Pfingstsportfest, Rehlingen",GER,20 MAY 2018,20 MAY 2018,1645,39,80705,46,82350,https://worldathletics.org/records/competition-performance-rankings/ranking/582958
29,591524,"Pfingstsportfest, Rehlingen",GER,09 JUN 2019,09 JUN 2019,1960,35,82463,27,84423,https://worldathletics.org/records/competition-performance-rankings/ranking/591524
60,604252,"56. Internationales Pfingstsportfest, Bungertstadion, Rehlingen",GER,23 MAY 2021,23 MAY 2021,1220,53,80039,65,81259,https://worldathletics.org/records/competition-performance-rankings/ranking/604252
85,612492,"57. Internationales Pfingstsportfest, Bungertstadion, Rehlingen",GER,05 JUN 2022,05 JUN 2022,1050,61,78640,101,79690,https://worldathletics.org/records/competition-performance-rankings/ranking/612492
53,620991,"58th International Pentecost Sport Meeting Rehlingen, Bungertstadion, Rehlingen",GER,28 MAY 2023,28 MAY 2023,1525,46,82001,55,83526,https://worldathletics.org/records/competition-performance-rankings/ranking/620991
47,629900,"59. Internationales Pfingstsportfest Rehlingen, Bungertstadion, Rehlingen",GER,19 MAY 2024,19 MAY 2024,1305,49,82374,47,83679,https://worldathletics.org/records/competition-performance-rankings/ranking/629900
71,645330,"60. Internationales Pfingstsportfest Rehlingen, Bungertstadion, Rehlingen",GER,08 JUN 2025,08 JUN 2025,1285,51,80778,77,82063,https://worldathletics.org/records/competition-performance-rankings/ranking/645330
25,659187,"61. Internationales Pfingstsportfest Rehlingen, Bungertstadion, Rehlingen",GER,24 MAY 2026,24 MAY 2026,1690,20,82095,34,83785,https://worldathletics.org/records/competition-performance-rankings/ranking/659187
